NAME,MOT,Output,MeanTT
"Baker County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,49
"Baker County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,33
"Baker County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,-
"Baker County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,**
"Baker County, Florida",Bus or trolley bus,Estimate,-
"Baker County, Florida",Bus or trolley bus,MOE,**
"Baker County, Florida",Streetcar or trolley car,Estimate,-
"Baker County, Florida",Streetcar or trolley car,MOE,**
"Baker County, Florida",Subway or elevated,Estimate,-
"Baker County, Florida",Subway or elevated,MOE,**
"Baker County, Florida",Railroad,Estimate,-
"Baker County, Florida",Railroad,MOE,**
"Baker County, Florida",Ferryboat,Estimate,-
"Baker County, Florida",Ferryboat,MOE,**
"Baker County, Florida",Bicycle,Estimate,18.3
"Baker County, Florida",Bicycle,MOE,10.5
"Baker County, Florida",Walked,Estimate,10.2
"Baker County, Florida",Walked,MOE,7.3
"Baker County, Florida",Taxicab,Estimate,-
"Baker County, Florida",Taxicab,MOE,**
"Baker County, Florida",Motorcycle,Estimate,-
"Baker County, Florida",Motorcycle,MOE,**
"Baker County, Florida",Other method,Estimate,9.9
"Baker County, Florida",Other method,MOE,6.8
"Baker County, Florida",Worked at home,Estimate,0
"Baker County, Florida",Worked at home,MOE,0
"Bay County, Florida","Total, means of transportation",Estimate,22.8
"Bay County, Florida","Total, means of transportation",MOE,0.8
"Bay County, Florida","Car, truck, or van -- Drove alone",Estimate,22.1
"Bay County, Florida","Car, truck, or van -- Drove alone",MOE,0.7
"Bay County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,25.5
"Bay County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,2
"Bay County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,26
"Bay County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,4.1
"Bay County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,31.7
"Bay County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,12.6
"Bay County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,20.9
"Bay County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,4.4
"Bay County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,35.3
"Bay County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,39.7
"Bay County, Florida",Bus or trolley bus,Estimate,41.1
"Bay County, Florida",Bus or trolley bus,MOE,5.8
"Bay County, Florida",Streetcar or trolley car,Estimate,14.7
"Bay County, Florida",Streetcar or trolley car,MOE,14.4
"Bay County, Florida",Subway or elevated,Estimate,-
"Bay County, Florida",Subway or elevated,MOE,**
"Bay County, Florida",Railroad,Estimate,-
"Bay County, Florida",Railroad,MOE,**
"Bay County, Florida",Ferryboat,Estimate,-
"Bay County, Florida",Ferryboat,MOE,**
"Bay County, Florida",Bicycle,Estimate,25
"Bay County, Florida",Bicycle,MOE,12.8
"Bay County, Florida",Walked,Estimate,12.5
"Bay County, Florida",Walked,MOE,3.1
"Bay County, Florida",Taxicab,Estimate,22.1
"Bay County, Florida",Taxicab,MOE,8.1
"Bay County, Florida",Motorcycle,Estimate,20
"Bay County, Florida",Motorcycle,MOE,3.1
"Bay County, Florida",Other method,Estimate,54.7
"Bay County, Florida",Other method,MOE,21
"Bay County, Florida",Worked at home,Estimate,0
"Bay County, Florida",Worked at home,MOE,0
"Bradford County, Florida","Total, means of transportation",Estimate,32.2
"Bradford County, Florida","Total, means of transportation",MOE,3.2
"Bradford County, Florida","Car, truck, or van -- Drove alone",Estimate,32.8
"Bradford County, Florida","Car, truck, or van -- Drove alone",MOE,3.2
"Bradford County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,37.5
"Bradford County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,12.6
"Bradford County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,13.1
"Bradford County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,2.9
"Bradford County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,17.6
"Bradford County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,10.7
"Bradford County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,7.5
"Bradford County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,10.3
"Bradford County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,-
"Bradford County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,**
"Bradford County, Florida",Bus or trolley bus,Estimate,33.3
"Bradford County, Florida",Bus or trolley bus,MOE,28.4
"Bradford County, Florida",Streetcar or trolley car,Estimate,-
"Bradford County, Florida",Streetcar or trolley car,MOE,**
"Bradford County, Florida",Subway or elevated,Estimate,-
"Bradford County, Florida",Subway or elevated,MOE,**
"Bradford County, Florida",Railroad,Estimate,-
"Bradford County, Florida",Railroad,MOE,**
"Bradford County, Florida",Ferryboat,Estimate,-
"Bradford County, Florida",Ferryboat,MOE,**
"Bradford County, Florida",Bicycle,Estimate,-
"Bradford County, Florida",Bicycle,MOE,**
"Bradford County, Florida",Walked,Estimate,7.2
"Bradford County, Florida",Walked,MOE,3.7
"Bradford County, Florida",Taxicab,Estimate,-
"Bradford County, Florida",Taxicab,MOE,**
"Bradford County, Florida",Motorcycle,Estimate,37.3
"Bradford County, Florida",Motorcycle,MOE,20.2
"Bradford County, Florida",Other method,Estimate,43.1
"Bradford County, Florida",Other method,MOE,89.5
"Bradford County, Florida",Worked at home,Estimate,0
"Bradford County, Florida",Worked at home,MOE,0
"Brevard County, Florida","Total, means of transportation",Estimate,24.2
"Brevard County, Florida","Total, means of transportation",MOE,0.4
"Brevard County, Florida","Car, truck, or van -- Drove alone",Estimate,23.6
"Brevard County, Florida","Car, truck, or van -- Drove alone",MOE,0.4
"Brevard County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,25.4
"Brevard County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,1.4
"Brevard County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,28
"Brevard County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,3.7
"Brevard County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,30.4
"Brevard County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,5.6
"Brevard County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,29.4
"Brevard County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,6.6
"Brevard County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,28.7
"Brevard County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,6.5
"Brevard County, Florida",Bus or trolley bus,Estimate,40.8
"Brevard County, Florida",Bus or trolley bus,MOE,5.5
"Brevard County, Florida",Streetcar or trolley car,Estimate,31
"Brevard County, Florida",Streetcar or trolley car,MOE,16
"Brevard County, Florida",Subway or elevated,Estimate,19.8
"Brevard County, Florida",Subway or elevated,MOE,16.7
"Brevard County, Florida",Railroad,Estimate,105
"Brevard County, Florida",Railroad,MOE,41.9
"Brevard County, Florida",Ferryboat,Estimate,-
"Brevard County, Florida",Ferryboat,MOE,**
"Brevard County, Florida",Bicycle,Estimate,21.2
"Brevard County, Florida",Bicycle,MOE,4.4
"Brevard County, Florida",Walked,Estimate,10
"Brevard County, Florida",Walked,MOE,2.3
"Brevard County, Florida",Taxicab,Estimate,42.5
"Brevard County, Florida",Taxicab,MOE,23.1
"Brevard County, Florida",Motorcycle,Estimate,21.1
"Brevard County, Florida",Motorcycle,MOE,2.6
"Brevard County, Florida",Other method,Estimate,53.6
"Brevard County, Florida",Other method,MOE,8.8
"Brevard County, Florida",Worked at home,Estimate,0
"Brevard County, Florida",Worked at home,MOE,0
"Broward County, Florida","Total, means of transportation",Estimate,28
"Broward County, Florida","Total, means of transportation",MOE,0.2
"Broward County, Florida","Car, truck, or van -- Drove alone",Estimate,27.1
"Broward County, Florida","Car, truck, or van -- Drove alone",MOE,0.2
"Broward County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,27
"Broward County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,0.7
"Broward County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,28.8
"Broward County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,1.9
"Broward County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,31.2
"Broward County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,3.1
"Broward County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,38.9
"Broward County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,5.3
"Broward County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,29.4
"Broward County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,5.3
"Broward County, Florida",Bus or trolley bus,Estimate,52.6
"Broward County, Florida",Bus or trolley bus,MOE,2.3
"Broward County, Florida",Streetcar or trolley car,Estimate,16.5
"Broward County, Florida",Streetcar or trolley car,MOE,7.3
"Broward County, Florida",Subway or elevated,Estimate,40.7
"Broward County, Florida",Subway or elevated,MOE,7.5
"Broward County, Florida",Railroad,Estimate,70.9
"Broward County, Florida",Railroad,MOE,7.4
"Broward County, Florida",Ferryboat,Estimate,-
"Broward County, Florida",Ferryboat,MOE,**
"Broward County, Florida",Bicycle,Estimate,23.6
"Broward County, Florida",Bicycle,MOE,2.4
"Broward County, Florida",Walked,Estimate,15.6
"Broward County, Florida",Walked,MOE,1.9
"Broward County, Florida",Taxicab,Estimate,20
"Broward County, Florida",Taxicab,MOE,2.9
"Broward County, Florida",Motorcycle,Estimate,18.1
"Broward County, Florida",Motorcycle,MOE,2.7
"Broward County, Florida",Other method,Estimate,43.8
"Broward County, Florida",Other method,MOE,5
"Broward County, Florida",Worked at home,Estimate,0
"Broward County, Florida",Worked at home,MOE,0
"Calhoun County, Florida","Total, means of transportation",Estimate,28.1
"Calhoun County, Florida","Total, means of transportation",MOE,2.2
"Calhoun County, Florida","Car, truck, or van -- Drove alone",Estimate,26.8
"Calhoun County, Florida","Car, truck, or van -- Drove alone",MOE,2.2
"Calhoun County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,30
"Calhoun County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,6.5
"Calhoun County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,39.3
"Calhoun County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,9.9
"Calhoun County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,48.9
"Calhoun County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,17.2
"Calhoun County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,-
"Calhoun County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,**
"Calhoun County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,-
"Calhoun County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,**
"Calhoun County, Florida",Bus or trolley bus,Estimate,-
"Calhoun County, Florida",Bus or trolley bus,MOE,**
"Calhoun County, Florida",Streetcar or trolley car,Estimate,-
"Calhoun County, Florida",Streetcar or trolley car,MOE,**
"Calhoun County, Florida",Subway or elevated,Estimate,-
"Calhoun County, Florida",Subway or elevated,MOE,**
"Calhoun County, Florida",Railroad,Estimate,-
"Calhoun County, Florida",Railroad,MOE,**
"Calhoun County, Florida",Ferryboat,Estimate,-
"Calhoun County, Florida",Ferryboat,MOE,**
"Calhoun County, Florida",Bicycle,Estimate,12.9
"Calhoun County, Florida",Bicycle,MOE,8.2
"Calhoun County, Florida",Walked,Estimate,2
"Calhoun County, Florida",Walked,MOE,2.3
"Calhoun County, Florida",Taxicab,Estimate,-
"Calhoun County, Florida",Taxicab,MOE,**
"Calhoun County, Florida",Motorcycle,Estimate,-
"Calhoun County, Florida",Motorcycle,MOE,**
"Calhoun County, Florida",Other method,Estimate,50.3
"Calhoun County, Florida",Other method,MOE,47.8
"Calhoun County, Florida",Worked at home,Estimate,0
"Calhoun County, Florida",Worked at home,MOE,0
"Charlotte County, Florida","Total, means of transportation",Estimate,24.1
"Charlotte County, Florida","Total, means of transportation",MOE,0.8
"Charlotte County, Florida","Car, truck, or van -- Drove alone",Estimate,23.9
"Charlotte County, Florida","Car, truck, or van -- Drove alone",MOE,0.9
"Charlotte County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,25.4
"Charlotte County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,2.2
"Charlotte County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,22.5
"Charlotte County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,5.2
"Charlotte County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,26.6
"Charlotte County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,10
"Charlotte County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,19.7
"Charlotte County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,1.7
"Charlotte County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,57.3
"Charlotte County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,85.7
"Charlotte County, Florida",Bus or trolley bus,Estimate,49.7
"Charlotte County, Florida",Bus or trolley bus,MOE,20.5
"Charlotte County, Florida",Streetcar or trolley car,Estimate,-
"Charlotte County, Florida",Streetcar or trolley car,MOE,**
"Charlotte County, Florida",Subway or elevated,Estimate,-
"Charlotte County, Florida",Subway or elevated,MOE,**
"Charlotte County, Florida",Railroad,Estimate,-
"Charlotte County, Florida",Railroad,MOE,**
"Charlotte County, Florida",Ferryboat,Estimate,-
"Charlotte County, Florida",Ferryboat,MOE,**
"Charlotte County, Florida",Bicycle,Estimate,21.7
"Charlotte County, Florida",Bicycle,MOE,3.6
"Charlotte County, Florida",Walked,Estimate,9.7
"Charlotte County, Florida",Walked,MOE,3.2
"Charlotte County, Florida",Taxicab,Estimate,19
"Charlotte County, Florida",Taxicab,MOE,7.9
"Charlotte County, Florida",Motorcycle,Estimate,19.6
"Charlotte County, Florida",Motorcycle,MOE,4.6
"Charlotte County, Florida",Other method,Estimate,37.6
"Charlotte County, Florida",Other method,MOE,11.6
"Charlotte County, Florida",Worked at home,Estimate,0
"Charlotte County, Florida",Worked at home,MOE,0
"Citrus County, Florida","Total, means of transportation",Estimate,25.3
"Citrus County, Florida","Total, means of transportation",MOE,1
"Citrus County, Florida","Car, truck, or van -- Drove alone",Estimate,24.7
"Citrus County, Florida","Car, truck, or van -- Drove alone",MOE,0.8
"Citrus County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,29.8
"Citrus County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,3.6
"Citrus County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,26.2
"Citrus County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,6.3
"Citrus County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,38.3
"Citrus County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,13.5
"Citrus County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,24.8
"Citrus County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,5.5
"Citrus County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,-
"Citrus County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,**
"Citrus County, Florida",Bus or trolley bus,Estimate,58.7
"Citrus County, Florida",Bus or trolley bus,MOE,30.2
"Citrus County, Florida",Streetcar or trolley car,Estimate,-
"Citrus County, Florida",Streetcar or trolley car,MOE,**
"Citrus County, Florida",Subway or elevated,Estimate,-
"Citrus County, Florida",Subway or elevated,MOE,**
"Citrus County, Florida",Railroad,Estimate,-
"Citrus County, Florida",Railroad,MOE,**
"Citrus County, Florida",Ferryboat,Estimate,17.3
"Citrus County, Florida",Ferryboat,MOE,14
"Citrus County, Florida",Bicycle,Estimate,24.9
"Citrus County, Florida",Bicycle,MOE,15.5
"Citrus County, Florida",Walked,Estimate,11
"Citrus County, Florida",Walked,MOE,4.1
"Citrus County, Florida",Taxicab,Estimate,9.8
"Citrus County, Florida",Taxicab,MOE,8.6
"Citrus County, Florida",Motorcycle,Estimate,16.5
"Citrus County, Florida",Motorcycle,MOE,6.2
"Citrus County, Florida",Other method,Estimate,42.6
"Citrus County, Florida",Other method,MOE,40.3
"Citrus County, Florida",Worked at home,Estimate,0
"Citrus County, Florida",Worked at home,MOE,0
"Clay County, Florida","Total, means of transportation",Estimate,33.5
"Clay County, Florida","Total, means of transportation",MOE,0.7
"Clay County, Florida","Car, truck, or van -- Drove alone",Estimate,33.5
"Clay County, Florida","Car, truck, or van -- Drove alone",MOE,0.7
"Clay County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,35
"Clay County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,2.4
"Clay County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,39.9
"Clay County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,6.5
"Clay County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,38.6
"Clay County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,10
"Clay County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,15.7
"Clay County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,3
"Clay County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,21.9
"Clay County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,6.3
"Clay County, Florida",Bus or trolley bus,Estimate,33.1
"Clay County, Florida",Bus or trolley bus,MOE,16.2
"Clay County, Florida",Streetcar or trolley car,Estimate,-
"Clay County, Florida",Streetcar or trolley car,MOE,**
"Clay County, Florida",Subway or elevated,Estimate,-
"Clay County, Florida",Subway or elevated,MOE,**
"Clay County, Florida",Railroad,Estimate,58.8
"Clay County, Florida",Railroad,MOE,87.9
"Clay County, Florida",Ferryboat,Estimate,-
"Clay County, Florida",Ferryboat,MOE,**
"Clay County, Florida",Bicycle,Estimate,23.3
"Clay County, Florida",Bicycle,MOE,6.9
"Clay County, Florida",Walked,Estimate,14.7
"Clay County, Florida",Walked,MOE,5.2
"Clay County, Florida",Taxicab,Estimate,30
"Clay County, Florida",Taxicab,MOE,17.2
"Clay County, Florida",Motorcycle,Estimate,16.3
"Clay County, Florida",Motorcycle,MOE,7.7
"Clay County, Florida",Other method,Estimate,44.2
"Clay County, Florida",Other method,MOE,19.7
"Clay County, Florida",Worked at home,Estimate,0
"Clay County, Florida",Worked at home,MOE,0
"Collier County, Florida","Total, means of transportation",Estimate,24.2
"Collier County, Florida","Total, means of transportation",MOE,0.5
"Collier County, Florida","Car, truck, or van -- Drove alone",Estimate,23.3
"Collier County, Florida","Car, truck, or van -- Drove alone",MOE,0.5
"Collier County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,23.9
"Collier County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,1.1
"Collier County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,29.8
"Collier County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,3.4
"Collier County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,30.5
"Collier County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,3.6
"Collier County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,33.5
"Collier County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,12.8
"Collier County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,44.6
"Collier County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,15.6
"Collier County, Florida",Bus or trolley bus,Estimate,37.2
"Collier County, Florida",Bus or trolley bus,MOE,5.5
"Collier County, Florida",Streetcar or trolley car,Estimate,-
"Collier County, Florida",Streetcar or trolley car,MOE,**
"Collier County, Florida",Subway or elevated,Estimate,33.7
"Collier County, Florida",Subway or elevated,MOE,9.6
"Collier County, Florida",Railroad,Estimate,76.7
"Collier County, Florida",Railroad,MOE,27.5
"Collier County, Florida",Ferryboat,Estimate,-
"Collier County, Florida",Ferryboat,MOE,**
"Collier County, Florida",Bicycle,Estimate,19
"Collier County, Florida",Bicycle,MOE,3
"Collier County, Florida",Walked,Estimate,10.6
"Collier County, Florida",Walked,MOE,1.6
"Collier County, Florida",Taxicab,Estimate,19.2
"Collier County, Florida",Taxicab,MOE,2.5
"Collier County, Florida",Motorcycle,Estimate,18.8
"Collier County, Florida",Motorcycle,MOE,3
"Collier County, Florida",Other method,Estimate,56.3
"Collier County, Florida",Other method,MOE,12.5
"Collier County, Florida",Worked at home,Estimate,0
"Collier County, Florida",Worked at home,MOE,0
"Columbia County, Florida","Total, means of transportation",Estimate,24.1
"Columbia County, Florida","Total, means of transportation",MOE,1.1
"Columbia County, Florida","Car, truck, or van -- Drove alone",Estimate,23.5
"Columbia County, Florida","Car, truck, or van -- Drove alone",MOE,1.1
"Columbia County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,27.1
"Columbia County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,4.2
"Columbia County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,31.5
"Columbia County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,17
"Columbia County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,32.9
"Columbia County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,37.4
"Columbia County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,11.6
"Columbia County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,8.8
"Columbia County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,86.2
"Columbia County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,78.9
"Columbia County, Florida",Bus or trolley bus,Estimate,53
"Columbia County, Florida",Bus or trolley bus,MOE,109.7
"Columbia County, Florida",Streetcar or trolley car,Estimate,-
"Columbia County, Florida",Streetcar or trolley car,MOE,**
"Columbia County, Florida",Subway or elevated,Estimate,79
"Columbia County, Florida",Subway or elevated,MOE,49.6
"Columbia County, Florida",Railroad,Estimate,-
"Columbia County, Florida",Railroad,MOE,**
"Columbia County, Florida",Ferryboat,Estimate,-
"Columbia County, Florida",Ferryboat,MOE,**
"Columbia County, Florida",Bicycle,Estimate,19.7
"Columbia County, Florida",Bicycle,MOE,6.3
"Columbia County, Florida",Walked,Estimate,33.6
"Columbia County, Florida",Walked,MOE,41.7
"Columbia County, Florida",Taxicab,Estimate,-
"Columbia County, Florida",Taxicab,MOE,**
"Columbia County, Florida",Motorcycle,Estimate,23.5
"Columbia County, Florida",Motorcycle,MOE,14.9
"Columbia County, Florida",Other method,Estimate,33
"Columbia County, Florida",Other method,MOE,38.8
"Columbia County, Florida",Worked at home,Estimate,0
"Columbia County, Florida",Worked at home,MOE,0
"DeSoto County, Florida","Total, means of transportation",Estimate,25.1
"DeSoto County, Florida","Total, means of transportation",MOE,2.1
"DeSoto County, Florida","Car, truck, or van -- Drove alone",Estimate,23.3
"DeSoto County, Florida","Car, truck, or van -- Drove alone",MOE,1.7
"DeSoto County, Florida","Car, truck, or van -- In a 2-person carpool",Estimate,29.2
"DeSoto County, Florida","Car, truck, or van -- In a 2-person carpool",MOE,6.7
"DeSoto County, Florida","Car, truck, or van -- In a 3-person carpool",Estimate,32.9
"DeSoto County, Florida","Car, truck, or van -- In a 3-person carpool",MOE,7.8
"DeSoto County, Florida","Car, truck, or van -- In a 4-person carpool",Estimate,40.6
"DeSoto County, Florida","Car, truck, or van -- In a 4-person carpool",MOE,13.6
"DeSoto County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",Estimate,25.3
"DeSoto County, Florida","Car, truck, or van -- In a 5-or-6-person carpool",MOE,4.8
"DeSoto County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",Estimate,47.4
"DeSoto County, Florida","Car, truck, or van -- In a 7-or-more-person carpool",MOE,18.2
"DeSoto County, Florida",Bus or trolley bus,Estimate,28.8
"DeSoto County, Florida",Bus or trolley bus,MOE,2.5
"DeSoto County, Florida",Streetcar or trolley car,Estimate,-
"DeSoto County, Florida",Streetcar or trolley car,MOE,**
"DeSoto County, Florida",Subway or elevated,Estimate,-
"DeSoto County, Florida",Subway or elevated,MOE,**
"DeSoto County, Florida",Railroad,Estimate,-
"DeSoto County, Florida",Railroad,MOE,**
"DeSoto County, Florida",Ferryboat,Estimate,-
"DeSoto County, Florida",Ferryboat,MOE,**
"DeSoto County, Florida",Bicycle,Estimate,12.7
"DeSoto County, Florida",Bicycle,MOE,4.1
"DeSoto County, Florida",Walked,Estimate,7.8
"DeSoto County, Florida",Walked,MOE,4
"DeSoto County, Florida",Taxicab,Estimate,13.5
"DeSoto County, Florida",Taxicab,MOE,8
"DeSoto County, Florida",Motorcycle,Estimate,8.3
