NAME,Age,Minority,Output,Population
Alabama,Age 35 to 44 years,Total persons,Estimate,606215
Alabama,Age 35 to 44 years,Total persons,Margin of Error,1149
Alabama,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,392775
Alabama,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,327
Alabama,Age 35 to 44 years,Other,Estimate,213445
Alabama,Age 35 to 44 years,Other,Margin of Error,1124
Alabama,Age 45 to 59 years,Total persons,Estimate,988875
Alabama,Age 45 to 59 years,Total persons,Margin of Error,3074
Alabama,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,691380
Alabama,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,2446
Alabama,Age 45 to 59 years,Other,Estimate,297495
Alabama,Age 45 to 59 years,Other,Margin of Error,1727
Alabama,Age 60 to 64 years,Total persons,Estimate,297360
Alabama,Age 60 to 64 years,Total persons,Margin of Error,2871
Alabama,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,215840
Alabama,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,2415
Alabama,Age 60 to 64 years,Other,Estimate,81520
Alabama,Age 60 to 64 years,Other,Margin of Error,1493
Alabama,Age 65 to 74 years,Total persons,Estimate,434510
Alabama,Age 65 to 74 years,Total persons,Margin of Error,613
Alabama,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,339215
Alabama,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,142
Alabama,Age 65 to 74 years,Other,Estimate,95295
Alabama,Age 65 to 74 years,Other,Margin of Error,615
Alabama,Age 75 years and over,Total persons,Estimate,307885
Alabama,Age 75 years and over,Total persons,Margin of Error,602
Alabama,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,247470
Alabama,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,130
Alabama,Age 75 years and over,Other,Estimate,60415
Alabama,Age 75 years and over,Other,Margin of Error,566
Alaska,"Total, all ages",Total persons,Estimate,736855
Alaska,"Total, all ages","White alone, not Hispanic/Latino",Estimate,456575
Alaska,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,275
Alaska,"Total, all ages",Other,Estimate,280280
Alaska,"Total, all ages",Other,Margin of Error,277
Alaska,Age 0 to 16 years,Total persons,Estimate,168125
Alaska,Age 0 to 16 years,Total persons,Margin of Error,604
Alaska,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,84405
Alaska,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,423
Alaska,Age 0 to 16 years,Other,Estimate,83720
Alaska,Age 0 to 16 years,Other,Margin of Error,469
Alaska,Age 16 and 17 years,Total persons,Estimate,19495
Alaska,Age 16 and 17 years,Total persons,Margin of Error,557
Alaska,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,9755
Alaska,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,411
Alaska,Age 16 and 17 years,Other,Estimate,9740
Alaska,Age 16 and 17 years,Other,Margin of Error,330
Alaska,Age 18 to 20 years,Total persons,Estimate,30620
Alaska,Age 18 to 20 years,Total persons,Margin of Error,911
Alaska,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,15325
Alaska,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,611
Alaska,Age 18 to 20 years,Other,Estimate,15295
Alaska,Age 18 to 20 years,Other,Margin of Error,675
Alaska,Age 21 to 24 years,Total persons,Estimate,47920
Alaska,Age 21 to 24 years,Total persons,Margin of Error,884
Alaska,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,27000
Alaska,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,639
Alaska,Age 21 to 24 years,Other,Estimate,20920
Alaska,Age 21 to 24 years,Other,Margin of Error,635
Alaska,Age 25 to 34 years,Total persons,Estimate,115775
Alaska,Age 25 to 34 years,Total persons,Margin of Error,589
Alaska,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,71210
Alaska,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,303
Alaska,Age 25 to 34 years,Other,Estimate,44565
Alaska,Age 25 to 34 years,Other,Margin of Error,489
Alaska,Age 35 to 44 years,Total persons,Estimate,92055
Alaska,Age 35 to 44 years,Total persons,Margin of Error,456
Alaska,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,59420
Alaska,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,167
Alaska,Age 35 to 44 years,Other,Estimate,32635
Alaska,Age 35 to 44 years,Other,Margin of Error,413
Alaska,Age 45 to 59 years,Total persons,Estimate,151470
Alaska,Age 45 to 59 years,Total persons,Margin of Error,1272
Alaska,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,106490
Alaska,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,993
Alaska,Age 45 to 59 years,Other,Estimate,44980
Alaska,Age 45 to 59 years,Other,Margin of Error,663
Alaska,Age 60 to 64 years,Total persons,Estimate,42095
Alaska,Age 60 to 64 years,Total persons,Margin of Error,1140
Alaska,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,31105
Alaska,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,937
Alaska,Age 60 to 64 years,Other,Estimate,10990
Alaska,Age 60 to 64 years,Other,Margin of Error,497
Alaska,Age 65 to 74 years,Total persons,Estimate,46575
Alaska,Age 65 to 74 years,Total persons,Margin of Error,336
Alaska,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,35205
Alaska,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,106
Alaska,Age 65 to 74 years,Other,Estimate,11375
Alaska,Age 65 to 74 years,Other,Margin of Error,324
Alaska,Age 75 years and over,Total persons,Estimate,22730
Alaska,Age 75 years and over,Total persons,Margin of Error,290
Alaska,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,16665
Alaska,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,67
Alaska,Age 75 years and over,Other,Estimate,6065
Alaska,Age 75 years and over,Other,Margin of Error,286
Arizona,"Total, all ages",Total persons,Estimate,6728575
Arizona,"Total, all ages","White alone, not Hispanic/Latino",Estimate,3777875
Arizona,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,996
Arizona,"Total, all ages",Other,Estimate,2950700
Arizona,"Total, all ages",Other,Margin of Error,997
Arizona,Age 0 to 16 years,Total persons,Estimate,1437740
Arizona,Age 0 to 16 years,Total persons,Margin of Error,1503
Arizona,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,574225
Arizona,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1339
Arizona,Age 0 to 16 years,Other,Estimate,863515
Arizona,Age 0 to 16 years,Other,Margin of Error,1449
Arizona,Age 16 and 17 years,Total persons,Estimate,181880
Arizona,Age 16 and 17 years,Total persons,Margin of Error,1487
Arizona,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,78085
Arizona,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,1133
Arizona,Age 16 and 17 years,Other,Estimate,103795
Arizona,Age 16 and 17 years,Other,Margin of Error,1240
Arizona,Age 18 to 20 years,Total persons,Estimate,286720
Arizona,Age 18 to 20 years,Total persons,Margin of Error,2422
Arizona,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,123735
Arizona,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1664
Arizona,Age 18 to 20 years,Other,Estimate,162990
Arizona,Age 18 to 20 years,Other,Margin of Error,1692
Arizona,Age 21 to 24 years,Total persons,Estimate,381600
Arizona,Age 21 to 24 years,Total persons,Margin of Error,2488
Arizona,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,171430
Arizona,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1690
Arizona,Age 21 to 24 years,Other,Estimate,210175
Arizona,Age 21 to 24 years,Other,Margin of Error,1869
Arizona,Age 25 to 34 years,Total persons,Estimate,899710
Arizona,Age 25 to 34 years,Total persons,Margin of Error,752
Arizona,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,444350
Arizona,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,292
Arizona,Age 25 to 34 years,Other,Estimate,455360
Arizona,Age 25 to 34 years,Other,Margin of Error,778
Arizona,Age 35 to 44 years,Total persons,Estimate,835720
Arizona,Age 35 to 44 years,Total persons,Margin of Error,506
Arizona,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,433130
Arizona,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,278
Arizona,Age 35 to 44 years,Other,Estimate,402585
Arizona,Age 35 to 44 years,Other,Margin of Error,500
Arizona,Age 45 to 59 years,Total persons,Estimate,1246450
Arizona,Age 45 to 59 years,Total persons,Margin of Error,3499
Arizona,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,794320
Arizona,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,2761
Arizona,Age 45 to 59 years,Other,Estimate,452135
Arizona,Age 45 to 59 years,Other,Margin of Error,1976
Arizona,Age 60 to 64 years,Total persons,Estimate,388600
Arizona,Age 60 to 64 years,Total persons,Margin of Error,3376
Arizona,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,288145
Arizona,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,2766
Arizona,Age 60 to 64 years,Other,Estimate,100460
Arizona,Age 60 to 64 years,Other,Margin of Error,1762
Arizona,Age 65 to 74 years,Total persons,Estimate,620855
Arizona,Age 65 to 74 years,Total persons,Margin of Error,352
Arizona,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,496130
Arizona,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,207
Arizona,Age 65 to 74 years,Other,Estimate,124725
Arizona,Age 65 to 74 years,Other,Margin of Error,417
Arizona,Age 75 years and over,Total persons,Estimate,449295
Arizona,Age 75 years and over,Total persons,Margin of Error,279
Arizona,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,374325
Arizona,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,114
Arizona,Age 75 years and over,Other,Estimate,74970
Arizona,Age 75 years and over,Other,Margin of Error,300
Arkansas,"Total, all ages",Total persons,Estimate,2968470
Arkansas,"Total, all ages","White alone, not Hispanic/Latino",Estimate,2177900
Arkansas,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,653
Arkansas,"Total, all ages",Other,Estimate,790570
Arkansas,"Total, all ages",Other,Margin of Error,651
Arkansas,Age 0 to 16 years,Total persons,Estimate,629165
Arkansas,Age 0 to 16 years,Total persons,Margin of Error,1242
Arkansas,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,401630
Arkansas,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,916
Arkansas,Age 0 to 16 years,Other,Estimate,227535
Arkansas,Age 0 to 16 years,Other,Margin of Error,954
Arkansas,Age 16 and 17 years,Total persons,Estimate,78070
Arkansas,Age 16 and 17 years,Total persons,Margin of Error,1079
Arkansas,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,52355
Arkansas,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,798
Arkansas,Age 16 and 17 years,Other,Estimate,25715
Arkansas,Age 16 and 17 years,Other,Margin of Error,750
Arkansas,Age 18 to 20 years,Total persons,Estimate,125925
Arkansas,Age 18 to 20 years,Total persons,Margin of Error,1785
Arkansas,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,81725
Arkansas,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1357
Arkansas,Age 18 to 20 years,Other,Estimate,44200
Arkansas,Age 18 to 20 years,Other,Margin of Error,1095
Arkansas,Age 21 to 24 years,Total persons,Estimate,161720
Arkansas,Age 21 to 24 years,Total persons,Margin of Error,1620
Arkansas,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,111530
Arkansas,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1361
Arkansas,Age 21 to 24 years,Other,Estimate,50190
Arkansas,Age 21 to 24 years,Other,Margin of Error,1152
Arkansas,Age 25 to 34 years,Total persons,Estimate,385315
Arkansas,Age 25 to 34 years,Total persons,Margin of Error,1224
Arkansas,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,267555
Arkansas,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,282
Arkansas,Age 25 to 34 years,Other,Estimate,117760
Arkansas,Age 25 to 34 years,Other,Margin of Error,1226
Arkansas,Age 35 to 44 years,Total persons,Estimate,367025
Arkansas,Age 35 to 44 years,Total persons,Margin of Error,1088
Arkansas,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,262985
Arkansas,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,219
Arkansas,Age 35 to 44 years,Other,Estimate,104040
Arkansas,Age 35 to 44 years,Other,Margin of Error,1098
Arkansas,Age 45 to 59 years,Total persons,Estimate,580065
Arkansas,Age 45 to 59 years,Total persons,Margin of Error,2282
Arkansas,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,451955
Arkansas,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,2011
Arkansas,Age 45 to 59 years,Other,Estimate,128110
Arkansas,Age 45 to 59 years,Other,Margin of Error,1173
Arkansas,Age 60 to 64 years,Total persons,Estimate,176200
Arkansas,Age 60 to 64 years,Total persons,Margin of Error,2153
Arkansas,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,142580
Arkansas,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,2023
Arkansas,Age 60 to 64 years,Other,Estimate,33620
Arkansas,Age 60 to 64 years,Other,Margin of Error,918
Arkansas,Age 65 to 74 years,Total persons,Estimate,269410
Arkansas,Age 65 to 74 years,Total persons,Margin of Error,526
Arkansas,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,232155
Arkansas,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,54
Arkansas,Age 65 to 74 years,Other,Estimate,37260
Arkansas,Age 65 to 74 years,Other,Margin of Error,520
Arkansas,Age 75 years and over,Total persons,Estimate,195575
Arkansas,Age 75 years and over,Total persons,Margin of Error,407
Arkansas,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,173430
Arkansas,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,56
Arkansas,Age 75 years and over,Other,Estimate,22145
Arkansas,Age 75 years and over,Other,Margin of Error,415
California,"Total, all ages",Total persons,Estimate,38654205
California,"Total, all ages","White alone, not Hispanic/Latino",Estimate,14837240
California,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,2965
California,"Total, all ages",Other,Estimate,23816965
California,"Total, all ages",Other,Margin of Error,2966
California,Age 0 to 16 years,Total persons,Estimate,8088460
California,Age 0 to 16 years,Total persons,Margin of Error,3892
California,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,2105775
California,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,2387
California,Age 0 to 16 years,Other,Estimate,5982685
California,Age 0 to 16 years,Other,Margin of Error,3435
California,Age 16 and 17 years,Total persons,Estimate,1051825
California,Age 16 and 17 years,Total persons,Margin of Error,3889
California,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,294415
California,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,2148
California,Age 16 and 17 years,Other,Estimate,757410
California,Age 16 and 17 years,Other,Margin of Error,3127
California,Age 18 to 20 years,Total persons,Estimate,1664165
California,Age 18 to 20 years,Total persons,Margin of Error,6425
California,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,479525
California,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,3396
California,Age 18 to 20 years,Other,Estimate,1184645
California,Age 18 to 20 years,Other,Margin of Error,5018
California,Age 21 to 24 years,Total persons,Estimate,2295345
California,Age 21 to 24 years,Total persons,Margin of Error,6527
California,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,715555
California,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,3440
California,Age 21 to 24 years,Other,Estimate,1579790
California,Age 21 to 24 years,Other,Margin of Error,5016
California,Age 25 to 34 years,Total persons,Estimate,5701165
California,Age 25 to 34 years,Total persons,Margin of Error,1173
California,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,1948475
California,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,783
California,Age 25 to 34 years,Other,Estimate,3752695
California,Age 25 to 34 years,Other,Margin of Error,1303
California,Age 35 to 44 years,Total persons,Estimate,5159030
California,Age 35 to 44 years,Total persons,Margin of Error,982
California,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,1772235
California,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,860
California,Age 35 to 44 years,Other,Estimate,3386795
California,Age 35 to 44 years,Other,Margin of Error,1227
California,Age 45 to 59 years,Total persons,Estimate,7633700
California,Age 45 to 59 years,Total persons,Margin of Error,7110
California,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,3447820
California,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,4757
California,Age 45 to 59 years,Other,Estimate,4185880
California,Age 45 to 59 years,Other,Margin of Error,5371
California,Age 60 to 64 years,Total persons,Estimate,2083530
California,Age 60 to 64 years,Total persons,Margin of Error,6904
California,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,1117095
California,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,4671
California,Age 60 to 64 years,Other,Estimate,966435
California,Age 60 to 64 years,Other,Margin of Error,5281
California,Age 65 to 74 years,Total persons,Estimate,2822405
California,Age 65 to 74 years,Total persons,Margin of Error,684
California,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,1637090
California,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,512
California,Age 65 to 74 years,Other,Estimate,1185315
California,Age 65 to 74 years,Other,Margin of Error,839
California,Age 75 years and over,Total persons,Estimate,2154575
California,Age 75 years and over,Total persons,Margin of Error,689
California,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,1319265
California,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,344
California,Age 75 years and over,Other,Estimate,835310
California,Age 75 years and over,Other,Margin of Error,752
Colorado,"Total, all ages",Total persons,Estimate,5359295
Colorado,"Total, all ages","White alone, not Hispanic/Latino",Estimate,3696125
Colorado,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,1257
Colorado,"Total, all ages",Other,Estimate,1663170
Colorado,"Total, all ages",Other,Margin of Error,1257
Colorado,Age 0 to 16 years,Total persons,Estimate,1113735
Colorado,Age 0 to 16 years,Total persons,Margin of Error,1423
Colorado,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,630690
Colorado,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,1209
Colorado,Age 0 to 16 years,Other,Estimate,483050
Colorado,Age 0 to 16 years,Other,Margin of Error,1270
Colorado,Age 16 and 17 years,Total persons,Estimate,132445
Colorado,Age 16 and 17 years,Total persons,Margin of Error,1459
Colorado,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,78205
Colorado,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,1064
Colorado,Age 16 and 17 years,Other,Estimate,54240
Colorado,Age 16 and 17 years,Other,Margin of Error,963
Colorado,Age 18 to 20 years,Total persons,Estimate,217890
Colorado,Age 18 to 20 years,Total persons,Margin of Error,2207
Colorado,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,132160
Colorado,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1491
Colorado,Age 18 to 20 years,Other,Estimate,85735
Colorado,Age 18 to 20 years,Other,Margin of Error,1570
Colorado,Age 21 to 24 years,Total persons,Estimate,304870
Colorado,Age 21 to 24 years,Total persons,Margin of Error,2364
Colorado,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,193655
Colorado,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1549
Colorado,Age 21 to 24 years,Other,Estimate,111215
Colorado,Age 21 to 24 years,Other,Margin of Error,1785
Colorado,Age 25 to 34 years,Total persons,Estimate,798010
Colorado,Age 25 to 34 years,Total persons,Margin of Error,1006
Colorado,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,529405
Colorado,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,441
Colorado,Age 25 to 34 years,Other,Estimate,268605
Colorado,Age 25 to 34 years,Other,Margin of Error,1072
Colorado,Age 35 to 44 years,Total persons,Estimate,724365
Colorado,Age 35 to 44 years,Total persons,Margin of Error,784
Colorado,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,488835
Colorado,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,328
Colorado,Age 35 to 44 years,Other,Estimate,235535
Colorado,Age 35 to 44 years,Other,Margin of Error,835
Colorado,Age 45 to 59 years,Total persons,Estimate,1074955
Colorado,Age 45 to 59 years,Total persons,Margin of Error,2983
Colorado,Age 45 to 59 years,"White alone, not Hispanic/Latino",Estimate,816855
Colorado,Age 45 to 59 years,"White alone, not Hispanic/Latino",Margin of Error,2129
Colorado,Age 45 to 59 years,Other,Estimate,258100
Colorado,Age 45 to 59 years,Other,Margin of Error,1605
Colorado,Age 60 to 64 years,Total persons,Estimate,314975
Colorado,Age 60 to 64 years,Total persons,Margin of Error,2787
Colorado,Age 60 to 64 years,"White alone, not Hispanic/Latino",Estimate,257100
Colorado,Age 60 to 64 years,"White alone, not Hispanic/Latino",Margin of Error,2282
Colorado,Age 60 to 64 years,Other,Estimate,57880
Colorado,Age 60 to 64 years,Other,Margin of Error,1283
Colorado,Age 65 to 74 years,Total persons,Estimate,409240
Colorado,Age 65 to 74 years,Total persons,Margin of Error,559
Colorado,Age 65 to 74 years,"White alone, not Hispanic/Latino",Estimate,341280
Colorado,Age 65 to 74 years,"White alone, not Hispanic/Latino",Margin of Error,184
Colorado,Age 65 to 74 years,Other,Estimate,67965
Colorado,Age 65 to 74 years,Other,Margin of Error,588
Colorado,Age 75 years and over,Total persons,Estimate,268800
Colorado,Age 75 years and over,Total persons,Margin of Error,375
Colorado,Age 75 years and over,"White alone, not Hispanic/Latino",Estimate,227945
Colorado,Age 75 years and over,"White alone, not Hispanic/Latino",Margin of Error,94
Colorado,Age 75 years and over,Other,Estimate,40855
Colorado,Age 75 years and over,Other,Margin of Error,389
Connecticut,"Total, all ages",Total persons,Estimate,3588570
Connecticut,"Total, all ages","White alone, not Hispanic/Latino",Estimate,2464450
Connecticut,"Total, all ages","White alone, not Hispanic/Latino",Margin of Error,1118
Connecticut,"Total, all ages",Other,Estimate,1124120
Connecticut,"Total, all ages",Other,Margin of Error,1118
Connecticut,Age 0 to 16 years,Total persons,Estimate,676645
Connecticut,Age 0 to 16 years,Total persons,Margin of Error,1253
Connecticut,Age 0 to 16 years,"White alone, not Hispanic/Latino",Estimate,384805
Connecticut,Age 0 to 16 years,"White alone, not Hispanic/Latino",Margin of Error,880
Connecticut,Age 0 to 16 years,Other,Estimate,291840
Connecticut,Age 0 to 16 years,Other,Margin of Error,1042
Connecticut,Age 16 and 17 years,Total persons,Estimate,97005
Connecticut,Age 16 and 17 years,Total persons,Margin of Error,1243
Connecticut,Age 16 and 17 years,"White alone, not Hispanic/Latino",Estimate,60155
Connecticut,Age 16 and 17 years,"White alone, not Hispanic/Latino",Margin of Error,881
Connecticut,Age 16 and 17 years,Other,Estimate,36850
Connecticut,Age 16 and 17 years,Other,Margin of Error,856
Connecticut,Age 18 to 20 years,Total persons,Estimate,158350
Connecticut,Age 18 to 20 years,Total persons,Margin of Error,1472
Connecticut,Age 18 to 20 years,"White alone, not Hispanic/Latino",Estimate,97825
Connecticut,Age 18 to 20 years,"White alone, not Hispanic/Latino",Margin of Error,1240
Connecticut,Age 18 to 20 years,Other,Estimate,60525
Connecticut,Age 18 to 20 years,Other,Margin of Error,914
Connecticut,Age 21 to 24 years,Total persons,Estimate,190435
Connecticut,Age 21 to 24 years,Total persons,Margin of Error,1548
Connecticut,Age 21 to 24 years,"White alone, not Hispanic/Latino",Estimate,114600
Connecticut,Age 21 to 24 years,"White alone, not Hispanic/Latino",Margin of Error,1258
Connecticut,Age 21 to 24 years,Other,Estimate,75840
Connecticut,Age 21 to 24 years,Other,Margin of Error,908
Connecticut,Age 25 to 34 years,Total persons,Estimate,438470
Connecticut,Age 25 to 34 years,Total persons,Margin of Error,596
Connecticut,Age 25 to 34 years,"White alone, not Hispanic/Latino",Estimate,260515
Connecticut,Age 25 to 34 years,"White alone, not Hispanic/Latino",Margin of Error,398
Connecticut,Age 25 to 34 years,Other,Estimate,177955
Connecticut,Age 25 to 34 years,Other,Margin of Error,710
Connecticut,Age 35 to 44 years,Total persons,Estimate,439605
Connecticut,Age 35 to 44 years,Total persons,Margin of Error,439
Connecticut,Age 35 to 44 years,"White alone, not Hispanic/Latino",Estimate,276560
Connecticut,Age 35 to 44 years,"White alone, not Hispanic/Latino",Margin of Error,206
Connecticut,Age 35 to 44 years,Other,Estimate,163050
Connecticut,Age 35 to 44 years,Other,Margin of Error,467
Connecticut,Age 45 to 59 years,Total persons,Estimate,809755
Connecticut,Age 45 to 59 years,Total persons,Margin of Error,2492
